Scenario Name,Date,Euro area real GDP growth,Euro area inflation,Euro area bilateral dollar exchange rate (USD/euro),Developing Asia real GDP growth,Developing Asia inflation,"Developing Asia bilateral dollar exchange rate (F/USD, index)",Japan real GDP growth,Japan inflation,Japan bilateral dollar exchange rate (yen/USD),U.K. real GDP growth,U.K. inflation,U.K. bilateral dollar exchange rate (USD/pound)
Actual,1995 Q2,3.3,2.6,,,,,3.9,-1.2,84.8,0.8,2.4,1.591
Actual,1995 Q3,1.0,2.0,,,,,4.7,0.3,99.1,4.5,2.8,1.580
Actual,1995 Q4,0.9,2.3,,,,,1.0,-0.8,103.3,1.3,1.8,1.554
Actual,1996 Q1,0.6,1.9,,,,,3.4,0.6,107.0,2.7,3.4,1.526
Actual,1996 Q2,3.1,2.3,,,,,5.2,0.6,109.5,1.2,1.9,1.553
Actual,1996 Q3,2.0,1.0,,6.3,5.9,89.3,0.5,0.6,111.7,3.7,2.0,1.565
Actual,1996 Q4,2.2,1.8,,10.1,4.3,89.9,4.5,0.4,115.8,5.7,2.4,1.712
Actual,1997 Q1,1.2,2.3,,5.6,3.2,91.2,1.0,1.0,123.7,6.5,1.5,1.645
Actual,1997 Q2,4.9,0.3,,8.6,2.8,91.2,-2.9,6.1,114.6,4.6,0.8,1.665
Actual,1997 Q3,3.1,2.0,,4.2,3.0,92.3,0.8,1.1,120.7,3.5,3.1,1.612
Actual,1997 Q4,4.2,1.6,,6.0,2.2,110.8,0.1,0.4,130.5,6.2,1.7,1.643
Actual,1998 Q1,2.9,0.7,,-2.0,8.2,103.3,-4.8,0.3,133.3,3.0,0.7,1.677
Actual,1998 Q2,1.6,1.0,,4.1,1.7,105.5,-1.7,-0.3,138.3,2.5,1.9,1.670
Actual,1998 Q3,2.1,1.2,,7.2,3.3,105.9,0.7,-1.1,136.6,1.3,1.2,1.700
Actual,1998 Q4,1.2,0.4,,9.9,2.6,101.9,3.3,3.3,113.1,2.7,1.7,1.663
Actual,1999 Q1,4.1,0.8,1.081,5.9,-3.0,102.8,-5.4,-2.3,118.4,2.7,1.6,1.614
Actual,1999 Q2,1.9,1.4,1.031,9.8,-1.6,101.6,1.6,-0.7,120.9,1.9,1.2,1.577
Actual,1999 Q3,5.3,2.0,1.064,8.1,1.3,102.6,2.1,-0.4,106.8,6.7,0.4,1.646
Actual,1999 Q4,4.3,1.8,1.007,10.6,2.3,100.9,0.1,-0.8,102.2,5.9,1.3,1.615
Actual,2000 Q1,5.3,2.6,0.957,7.3,1.5,100.0,7.1,-0.5,102.7,5.1,0.3,1.592
Actual,2000 Q2,3.6,0.9,0.955,7.0,-0.3,100.7,1.8,-1.1,106.1,3.0,0.5,1.513
Actual,2000 Q3,2.7,3.4,0.884,7.8,2.3,101.4,0.1,-0.4,107.9,2.6,1.0,1.479
Actual,2000 Q4,1.8,2.8,0.939,3.7,2.5,105.3,4.0,-1.0,114.4,2.5,1.9,1.496
Actual,2001 Q1,4.5,1.2,0.879,4.6,1.7,106.2,3.0,0.7,125.5,3.8,-0.1,1.419
Actual,2001 Q2,0.2,4.0,0.847,5.4,2.1,106.2,-2.9,-1.9,124.7,1.7,3.2,1.408
Actual,2001 Q3,0.8,1.5,0.910,4.9,1.3,106.5,-4.3,-0.7,119.2,2.1,1.0,1.469
Actual,2001 Q4,-0.2,1.7,0.890,8.3,0.0,107.0,-1.4,-1.8,131.0,1.2,-0.1,1.454
Actual,2002 Q1,0.8,3.1,0.872,8.0,0.5,107.5,0.7,-1.2,132.7,1.1,2.0,1.425
Actual,2002 Q2,2.0,2.0,0.986,8.2,1.2,104.8,3.3,0.3,119.9,1.9,0.9,1.525
Actual,2002 Q3,1.8,1.6,0.988,7.1,1.5,105.6,1.3,-0.4,121.7,2.9,1.3,1.570
Actual,2002 Q4,0.8,2.3,1.049,6.6,0.8,104.5,1.1,-0.8,118.8,3.1,1.9,1.610
Actual,2003 Q1,-1.0,3.3,1.090,6.6,3.6,105.6,0.2,0.0,118.1,3.0,1.7,1.579
Actual,2003 Q2,0.2,0.5,1.150,2.1,1.2,104.0,2.8,0.3,119.9,3.6,0.2,1.653
Actual,2003 Q3,2.6,2.1,1.165,14.3,0.1,102.6,1.2,-0.7,111.4,3.7,1.7,1.662
Actual,2003 Q4,2.5,2.3,1.260,12.8,5.5,103.4,4.4,-0.7,107.1,3.4,1.7,1.784
Actual,2004 Q1,2.3,2.2,1.229,5.9,4.0,101.4,3.1,0.6,104.2,1.6,1.4,1.840
Actual,2004 Q2,2.4,2.6,1.218,7.1,4.1,102.8,-0.1,-0.3,109.4,2.3,0.8,1.813
Actual,2004 Q3,1.0,2.0,1.242,8.1,4.1,102.7,2.5,-0.1,110.2,1.5,1.1,1.809
Actual,2004 Q4,1.7,2.4,1.354,6.4,0.8,98.8,-0.7,2.0,102.7,1.9,2.4,1.916
Actual,2005 Q1,1.1,1.4,1.297,10.6,2.9,98.5,2.0,-1.2,107.2,3.0,2.6,1.889
Actual,2005 Q2,2.5,2.2,1.210,8.7,1.5,98.9,3.1,-1.0,110.9,3.4,1.8,1.793
Actual,2005 Q3,3.1,3.1,1.206,9.3,2.4,98.5,4.2,-1.1,113.3,3.4,2.8,1.770
Actual,2005 Q4,2.8,2.5,1.184,11.6,1.6,98.0,0.7,0.4,117.9,3.8,1.4,1.719
Actual,2006 Q1,3.8,1.7,1.214,10.8,2.4,96.6,0.6,1.1,117.5,2.0,1.9,1.739
Actual,2006 Q2,4.5,2.5,1.278,7.1,3.2,96.5,0.6,0.4,114.5,1.4,3.0,1.849
Actual,2006 Q3,2.3,2.0,1.269,10.2,2.3,96.2,-0.8,0.4,118.0,1.1,3.3,1.872
Actual,2006 Q4,4.7,0.9,1.320,11.3,3.6,94.4,5.5,-0.6,119.0,2.2,2.6,1.959
Actual,2007 Q1,2.9,2.3,1.337,13.8,3.6,93.8,2.6,-0.7,117.6,3.7,2.5,1.969
Actual,2007 Q2,2.7,2.3,1.352,10.5,4.9,91.8,0.2,0.4,123.4,2.9,1.8,2.006
Actual,2007 Q3,1.6,2.1,1.422,8.7,7.6,90.5,-2.1,0.3,115.0,2.9,0.3,2.039
Actual,2007 Q4,2.0,4.9,1.460,12.8,5.9,89.4,1.8,2.0,111.7,2.4,4.0,1.984
Actual,2008 Q1,2.7,4.2,1.581,7.2,8.1,88.0,1.5,1.4,99.9,1.9,3.4,1.986
Actual,2008 Q2,-2.0,3.2,1.575,5.9,6.3,88.7,-2.4,1.7,106.2,-2.1,5.8,1.991
Actual,2008 Q3,-2.2,3.2,1.408,2.9,3.0,91.7,-4.9,3.8,105.9,-6.0,5.9,1.780
Actual,2008 Q4,-6.6,-1.4,1.392,0.4,-1.1,92.4,-9.5,-2.4,90.8,-8.3,0.4,1.462
Actual,2009 Q1,-11.7,-1.0,1.326,4.2,-1.4,94.4,-17.9,-3.5,99.2,-7.9,-0.2,1.430
Actual,2009 Q2,-0.2,0.0,1.402,15.0,2.3,92.5,8.1,-1.5,96.4,-1.3,2.3,1.645
Actual,2009 Q3,1.4,1.1,1.463,12.8,4.1,91.4,-0.2,-1.5,89.5,0.3,3.6,1.600
Actual,2009 Q4,1.9,1.6,1.433,9.6,5.0,90.8,5.1,-1.4,93.1,1.2,2.8,1.617
Actual,2010 Q1,1.7,1.8,1.353,9.8,4.4,89.9,4.2,1.0,93.4,3.7,4.2,1.519
Actual,2010 Q2,3.6,1.9,1.229,9.4,3.4,91.2,5.0,-1.4,88.5,4.4,3.3,1.495
Actual,2010 Q3,1.8,1.6,1.360,8.7,4.2,88.5,7.4,-2.0,83.5,2.4,2.2,1.573
Actual,2010 Q4,2.5,2.6,1.327,9.7,7.5,87.5,-3.2,1.4,81.7,0.3,3.9,1.539
Actual,2011 Q1,3.8,3.7,1.418,9.6,6.2,86.5,-4.2,-0.4,82.8,1.1,7.0,1.605
Actual,2011 Q2,0.0,3.1,1.452,6.8,5.4,85.4,-3.3,-0.7,80.6,0.4,4.6,1.607
Actual,2011 Q3,0.1,1.3,1.345,5.6,5.3,87.5,10.1,0.4,77.0,1.2,3.5,1.562
Actual,2011 Q4,-1.1,3.5,1.297,6.6,3.0,87.4,-0.5,-0.6,77.0,0.5,3.4,1.554
Actual,2012 Q1,-1.1,2.9,1.333,7.6,3.1,86.4,5.7,2.3,82.4,3.5,2.3,1.599
Actual,2012 Q2,-1.5,2.2,1.267,5.7,3.9,88.2,-3.6,-1.4,79.8,-0.5,1.9,1.569
Actual,2012 Q3,-0.5,1.5,1.286,6.6,2.2,86.3,-1.5,-2.0,77.9,3.9,2.1,1.613
Actual,2012 Q4,-1.6,2.5,1.319,7.3,3.5,86.0,-0.2,0.1,86.6,-0.4,4.2,1.626
Actual,2013 Q1,-1.5,1.3,1.282,6.6,4.5,86.3,5.5,0.6,94.2,1.3,3.0,1.519
Actual,2013 Q2,2.6,0.2,1.301,6.2,2.8,87.3,3.7,0.0,99.2,2.7,1.5,1.521
Actual,2013 Q3,1.3,1.1,1.354,7.8,3.6,86.7,3.9,2.7,98.3,3.3,2.1,1.618
Actual,2013 Q4,1.1,0.5,1.378,6.8,3.8,85.9,-0.4,2.4,105.3,2.7,1.7,1.657
Actual,2014 Q1,1.6,0.9,1.378,6.1,1.4,86.9,3.1,1.0,103.0,3.3,1.8,1.668
Actual,2014 Q2,0.9,-0.4,1.369,7.4,2.6,86.7,-6.9,8.3,101.3,3.8,1.4,1.711
Actual,2014 Q3,1.9,0.1,1.263,6.5,2.5,87.1,0.4,1.9,109.7,3.2,0.8,1.622
Actual,2014 Q4,1.7,0.0,1.210,5.8,0.9,88.2,1.9,-0.8,119.9,2.8,-0.3,1.558
Actual,2015 Q1,2.9,-0.8,1.074,6.3,0.9,88.2,6.1,0.1,120.0,1.1,-1.3,1.485
Actual,2015 Q2,1.8,2.4,1.115,6.8,2.8,88.5,0.6,1.1,122.1,2.5,0.8,1.573
Actual,2015 Q3,1.6,-0.2,1.116,6.5,2.7,91.2,0.5,0.3,119.8,1.5,0.7,1.512
Actual,2015 Q4,2.1,-0.4,1.086,5.7,1.1,92.3,-0.7,-0.8,120.3,2.3,0.0,1.475
Actual,2016 Q1,2.0,-1.4,1.139,6.9,3.0,91.9,3.0,-0.5,112.4,1.4,0.0,1.438
Actual,2016 Q2,0.9,1.5,1.103,6.9,2.9,94.3,-0.6,0.0,102.8,2.3,0.7,1.324
Actual,2016 Q3,1.9,1.3,1.124,6.6,1.2,93.8,0.9,-0.4,101.2,1.7,2.0,1.302
Actual,2016 Q4,2.9,1.7,1.055,5.9,1.7,97.7,0.5,2.2,116.8,2.5,2.1,1.234
Actual,2017 Q1,3.1,2.6,1.070,6.3,1.3,95.3,3.1,-0.7,111.4,3.4,3.8,1.254
Actual,2017 Q2,3.0,0.5,1.141,6.7,2.2,94.8,1.7,0.7,112.4,2.5,3.1,1.300
Actual,2017 Q3,2.9,1.1,1.181,5.8,2.3,93.8,3.4,0.4,112.6,2.6,2.2,1.340
Actual,2017 Q4,3.2,1.7,1.202,6.0,2.5,91.2,0.3,1.8,112.7,3.0,3.1,1.353
